Date/Hour: 12-02-2014/16:30:26 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:30:31 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0
Date/Hour: 12-02-2014/16:30:31 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0
Date/Hour: 12-02-2014/16:33:01 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:33:01 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:33:33 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:33:33 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:39:36 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:39:36 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:39:40 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:39:40 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:39:42 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:39:42 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:55:12 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:55:12 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:07:48 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:07:48 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:07:57 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:07:57 - Username:  - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:08:02 - Username: dsd - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:08:02 - Username: dsd - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/17:09:33 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
